"model","base_sensitivity","age_length_variant","age_length_source_file","age_length_sha256","lf_likelihood","tail_compression_percent","lf_downweight_factor","lf_size_divisor","dm_tail_min_classes","dm_grouping","dm_concentration","dm_nmax","cutoff_cm","tag_flag2","regional_scaling_weight","regional_scaling_interpretation","selectivity_treatment","status"
"S001-TC1-NOCUT-DW10-SUB075-TAGF2OFF-REGW50","S017-TC1-NOCUT-SUB075-TAGF2OFF","SUB075","bet.2026.sub.basin.0.75.age_length","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","normal",1,10,200,,,,,,0,50,"standardized SD multiplier 0.1414 (effective covariance Sigma/50)","sa28_n5","prepared"
"S002-TC1-NOCUT-DW10-SUB075-TAGF2OFF-REGW11","S017-TC1-NOCUT-SUB075-TAGF2OFF","SUB075","bet.2026.sub.basin.0.75.age_length","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","normal",1,10,200,,,,,,0,11,"standardized SD multiplier 0.3015 (effective covariance Sigma/11)","sa28_n5","prepared"
"S003-TC1-NOCUT-DW10-SUB075-TAGF2OFF-REGW1","S017-TC1-NOCUT-SUB075-TAGF2OFF","SUB075","bet.2026.sub.basin.0.75.age_length","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","normal",1,10,200,,,,,,0,1,"standardized SD multiplier 1.0000 (empirical covariance Sigma)","sa28_n5","prepared"
"S004-TC1-NOCUT-DW10-SUB075-TAGF2OFF-REGW0","S017-TC1-NOCUT-SUB075-TAGF2OFF","SUB075","bet.2026.sub.basin.0.75.age_length","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","normal",1,10,200,,,,,,0,0,"regional-scaling penalty disabled","sa28_n5","prepared"
"S005-TC1-NOCUT-DW10-SUB075-TAGF2ON-REGW50","S018-TC1-NOCUT-SUB075-TAGF2ON","SUB075","bet.2026.sub.basin.0.75.age_length","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","normal",1,10,200,,,,,,1,50,"standardized SD multiplier 0.1414 (effective covariance Sigma/50)","sa28_n5","prepared"
"S006-TC1-NOCUT-DW10-SUB075-TAGF2ON-REGW11","S018-TC1-NOCUT-SUB075-TAGF2ON","SUB075","bet.2026.sub.basin.0.75.age_length","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","normal",1,10,200,,,,,,1,11,"standardized SD multiplier 0.3015 (effective covariance Sigma/11)","sa28_n5","prepared"
"S007-TC1-NOCUT-DW10-SUB075-TAGF2ON-REGW1","S018-TC1-NOCUT-SUB075-TAGF2ON","SUB075","bet.2026.sub.basin.0.75.age_length","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","normal",1,10,200,,,,,,1,1,"standardized SD multiplier 1.0000 (empirical covariance Sigma)","sa28_n5","prepared"
"S008-TC1-NOCUT-DW10-SUB075-TAGF2ON-REGW0","S018-TC1-NOCUT-SUB075-TAGF2ON","SUB075","bet.2026.sub.basin.0.75.age_length","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","normal",1,10,200,,,,,,1,0,"regional-scaling penalty disabled","sa28_n5","prepared"
"S009-DM-G5PROC-CEST-NOCUT-SUB075-TAGF2OFF-NMAX20-REGW50","S017-TC1-NOCUT-SUB075-TAGF2OFF","SUB075","bet.2026.sub.basin.0.75.age_length","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","dm_no_re",,,,5,"G5PROC","estimated_phase2",20,,0,50,"standardized SD multiplier 0.1414 (effective covariance Sigma/50)","sa28_n5","prepared"
"S010-DM-G5PROC-CEST-NOCUT-SUB075-TAGF2OFF-NMAX20-REGW11","S017-TC1-NOCUT-SUB075-TAGF2OFF","SUB075","bet.2026.sub.basin.0.75.age_length","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","dm_no_re",,,,5,"G5PROC","estimated_phase2",20,,0,11,"standardized SD multiplier 0.3015 (effective covariance Sigma/11)","sa28_n5","prepared"
"S011-DM-G5PROC-CEST-NOCUT-SUB075-TAGF2OFF-NMAX20-REGW1","S017-TC1-NOCUT-SUB075-TAGF2OFF","SUB075","bet.2026.sub.basin.0.75.age_length","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","dm_no_re",,,,5,"G5PROC","estimated_phase2",20,,0,1,"standardized SD multiplier 1.0000 (empirical covariance Sigma)","sa28_n5","prepared"
"S012-DM-G5PROC-CEST-NOCUT-SUB075-TAGF2OFF-NMAX20-REGW0","S017-TC1-NOCUT-SUB075-TAGF2OFF","SUB075","bet.2026.sub.basin.0.75.age_length","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","dm_no_re",,,,5,"G5PROC","estimated_phase2",20,,0,0,"regional-scaling penalty disabled","sa28_n5","prepared"
"S013-DM-G5PROC-CEST-NOCUT-SUB075-TAGF2ON-NMAX20-REGW50","S018-TC1-NOCUT-SUB075-TAGF2ON","SUB075","bet.2026.sub.basin.0.75.age_length","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","dm_no_re",,,,5,"G5PROC","estimated_phase2",20,,1,50,"standardized SD multiplier 0.1414 (effective covariance Sigma/50)","sa28_n5","prepared"
"S014-DM-G5PROC-CEST-NOCUT-SUB075-TAGF2ON-NMAX20-REGW11","S018-TC1-NOCUT-SUB075-TAGF2ON","SUB075","bet.2026.sub.basin.0.75.age_length","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","dm_no_re",,,,5,"G5PROC","estimated_phase2",20,,1,11,"standardized SD multiplier 0.3015 (effective covariance Sigma/11)","sa28_n5","prepared"
"S015-DM-G5PROC-CEST-NOCUT-SUB075-TAGF2ON-NMAX20-REGW1","S018-TC1-NOCUT-SUB075-TAGF2ON","SUB075","bet.2026.sub.basin.0.75.age_length","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","dm_no_re",,,,5,"G5PROC","estimated_phase2",20,,1,1,"standardized SD multiplier 1.0000 (empirical covariance Sigma)","sa28_n5","prepared"
"S016-DM-G5PROC-CEST-NOCUT-SUB075-TAGF2ON-NMAX20-REGW0","S018-TC1-NOCUT-SUB075-TAGF2ON","SUB075","bet.2026.sub.basin.0.75.age_length","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","dm_no_re",,,,5,"G5PROC","estimated_phase2",20,,1,0,"regional-scaling penalty disabled","sa28_n5","prepared"
