"role","file","source","source_commit","note"
"frq","bet.frq","reference-inputs/job-5319/mfcl-inputs/bet.frq","","Exact retained Job 5319 effort-crept bet.frq; SHA-256 d77f97c348409f845f1f0fc801af808d15b6cb119349d1f083308cfc9d4fba8c. For F21/F22/F23, observed LF counts are unchanged; no cutoff is applied. This model retains its previously selected cutoff treatment. No FRQ transform is applied. Effort creep is not reapplied. All extraction and index LF observations are retained byte-for-byte. The normal-likelihood flag-49 extra /2 correction is inert under option 11 and therefore is not reproduced in this DM sensitivity."
"ini","bet.ini","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-build-ini/blob/548de05aff9bdc96a9ee7a817bbfd8068020ba26/BET/ini.mix-period/bet.2026.mix-0.2.ini","548de05aff9bdc96a9ee7a817bbfd8068020ba26","Upstream INI from PacificCommunity/ofp-sam-2026-BET-YFT-build-ini@548de05aff9bdc96a9ee7a817bbfd8068020ba26 path BET/ini.mix-period/bet.2026.mix-0.2.ini. Tag-control ini SHA-256 932f57a96140400ae327cc47291316840c63c492542724a967c48ed002157117; the only intentional deviation from that upstream file is that all 98 tag_flags(:,2) values are 0."
"tag","bet.tag","reference-inputs/job-5319/mfcl-inputs/bet.tag","79733c429b320e84ed5047aa6c932c8f19dab187","Latest tag data from PacificCommunity/ofp-sam-2026-BET-YFT-tag-prep@79733c429b320e84ed5047aa6c932c8f19dab187 (main); tag SHA-256 3f1b836a844ec2ca8e70fc5814d94c5a1ebc37ff4a5571c1dc1f6b83e477dfe8; byte-identical to PDH 13-DataWeighting."
"age_length","bet.age_length","reference-inputs/age-length-variants/bet.2026.regional.1.age_length","96a06d21ef3c666f39ce456d3a6818b6c17324c4","Exact REG100 age-length input from https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-age-length-build@96a06d21ef3c666f39ce456d3a6818b6c17324c4; original file bet.2026.regional.1.age_length; SHA-256 381f3098fb4e7fc3496f89c4ce538442472e445200812a03ca5ec3f68b4ce5bb."
"reg_scaling","bet.reg_scaling","reference-inputs/job-5319/mfcl-inputs/bet.reg_scaling","26c74dc6f303faa951b1ab331d7de14ea20b7489","Refreshed from PacificCommunity/ofp-sam-bet-2026-stepwise@26c74dc6f303faa951b1ab331d7de14ea20b7489 (experiment/tag-grouping-reg-scaling-2026). MFCL-ready active matrix, exactly full-source rows 53:72 (20x5); fixed weight 50."
"reg_scaling_full","bet.reg_scaling.full","reference-inputs/job-5319/mfcl-inputs/bet.reg_scaling.full","26c74dc6f303faa951b1ab331d7de14ea20b7489","Refreshed from PacificCommunity/ofp-sam-bet-2026-stepwise@26c74dc6f303faa951b1ab331d7de14ea20b7489 (experiment/tag-grouping-reg-scaling-2026). Complete 292x5 sensitivity source retained for alternative period windows; not read by MFCL."
"doitall","doitall.sh","reference-inputs/job-5319/mfcl-inputs/doitall.sh","","Retained Job 5319 doitall sequence with LF likelihood option 11; the LF preprocessing gate and N < 50 filter retained; percentage and DM-specific LF tail compression retains at least five class intervals; DM maximum effective sample size 20; numerical continuation uses Nmax 50 through PHASE9, 35 in PHASE10, and final target 20 in PHASE11; 5 reviewed LF group(s); group-specific scalar exponents estimated from PHASE1; the relative sample-size exponent is fixed at zero in PHASE1 and estimated from PHASE2; no LF cutoff is applied. Inherited flag-49 lines are inert under DM-noRE, so the normal models' fixed extra /2 is not reproduced. These are deliberate DM grouping/overdispersion sensitivities, not exact duplicate-use corrections. The corrected N5 baseline assigns independent selectivity groups to F1-F28, applies the audited young-age, F9 monotonicity, and upper-age constraints, fixes the first two ages of F29-F33 to zero, uses five nodes, and splits regional-index groups F29-F33 in phase 5. Fish flag 24 group labels are contiguous in every phase without changing group membership. Fish flag 26=2 evaluates the flag-57 cubic spline on scaled mean length-at-age to produce final selectivity-at-age; flag 61 supplies nodes on that coordinate. Extraction constraints are mapped from PacificCommunity/ofp-sam-bet-yft-2026-single-area@5363029b509cacf902aef2866efdc04634c89045. Branch-wide CPUE HAC4 sensitivity from S014 Kflow job 9777 weighted log-residuals: Bartlett Newey-West lag 4; F29-F33 flag 92 values are 40, 30, 35, 32, and 30. Fish flag 66 remains 1, so MFCL applies the FRQ effort_weight as a per-fishery-normalized temporal variance multiplier; parest flag 371 remains at its initialized value zero."
"mfcl_config","mfcl.cfg","reference-inputs/job-5319/mfcl-inputs/mfcl.cfg","","MFCL-setting-identical to the retained Job 5319 anchor; public explanatory doitall comments are normalized in the refreshed reference bundle; reference-set SHA-256 a864b81f4d07321e977454a0d4c8389c8008b00159f374601f40ad6a6f7379d7."
"fishery_map","fishery_map.R","reference-inputs/job-5319/mfcl-inputs/fishery_map.R","26c74dc6f303faa951b1ab331d7de14ea20b7489","Refreshed from PacificCommunity/ofp-sam-bet-2026-stepwise@26c74dc6f303faa951b1ab331d7de14ea20b7489 (experiment/tag-grouping-reg-scaling-2026). Updated fishery names plus corrected independent F1-F28 display groups; regional indices share group 29 in phases 1-4 and split to groups 29:33 in phase 5."
"tag_reporting_map","tag_rep_map.R","reference-inputs/job-5319/mfcl-inputs/tag_rep_map.R","","Generated from the derived bet.ini and refreshed fishery_map.R; INI upstream PacificCommunity/ofp-sam-2026-BET-YFT-build-ini@548de05aff9bdc96a9ee7a817bbfd8068020ba26; fishery metadata Refreshed from PacificCommunity/ofp-sam-bet-2026-stepwise@26c74dc6f303faa951b1ab331d7de14ea20b7489 (experiment/tag-grouping-reg-scaling-2026). reporting groups match bet.ini and bet.tag."
"design_context","job-config.R","job-config.R",,"This model belongs to the public 41-model design: 30 core age-length/LF combinations, two targeted N8 controls, five core TAGF2ON controls, and normal plus DM OPR tag-control pairs. Every model uses the complete single-area-derived selectivity baseline, including F29-F33 first-two-age zeros; N8 changes only F12 PS.JP.1 and F13 PL.JP.1. Age-length levels are BASE075, REG075, REG100, SUB075, and SUB100. DM models use DM-noRE, G5PROC, estimated relative sample-size exponent C, and Nmax 20. All models on this branch use the HAC4-adjusted CPUE sigma flags F29-F33 = 40, 30, 35, 32, and 30 while retaining the original FRQ effort_weight variance multipliers and parest flag 371=0 semantics. TAGF2ON changes only all 98 tag_flags(:,2) values. OPR is activated in phase 3, movement in phase 4, and regional scaling in phase 5; terminal penalty is disabled. Fish flag 26=2 evaluates the flag-57 cubic spline on scaled mean length-at-age to produce final selectivity-at-age; flag-61 nodes use that coordinate, while flags 75/3/16 remain age constraints. This setting is separate from the LF likelihood. This model uses age-length level REG100."
