"tag_event_row","event_type","fishery","reporting_group","source_candidate","old_target","old_penalty","old_mean","old_sd","new_target","new_penalty","new_mean","new_sd"
16,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
16,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
16,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
16,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
17,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
17,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
17,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
17,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
18,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
18,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
18,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
18,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
19,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
19,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
19,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
19,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
20,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
20,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
20,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
20,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
21,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
21,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
21,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
21,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
22,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
22,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
22,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
22,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
23,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
23,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
23,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
23,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
24,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
24,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
24,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
24,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
25,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
25,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
25,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
25,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
26,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
26,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
26,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
26,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
27,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
27,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
27,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
27,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
28,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
28,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
28,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
28,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
29,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
29,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
29,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
29,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
30,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
30,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
30,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
30,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
31,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
31,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
31,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
31,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
32,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
32,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
32,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
32,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
33,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
33,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
33,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
33,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
34,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
34,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
34,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
34,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
35,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
35,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
35,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
35,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
36,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
36,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
36,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
36,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
37,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
37,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
37,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
37,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
38,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
38,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
38,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
38,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
39,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
39,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
39,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
39,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
40,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
40,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
40,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
40,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
41,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
41,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
41,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
41,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
42,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
42,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
42,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
42,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
43,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
43,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
43,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
43,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
44,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
44,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
44,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
44,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
45,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
45,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
45,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
45,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
46,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
46,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
46,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
46,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
47,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
47,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
47,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
47,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
48,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
48,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
48,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
48,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
49,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
49,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
49,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
49,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
50,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
50,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
50,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
50,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
51,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
51,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
51,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
51,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
52,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
52,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
52,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
52,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
53,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
53,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
53,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
53,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
54,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
54,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
54,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
54,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
55,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
55,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
55,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
55,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
56,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
56,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
56,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
56,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
57,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
57,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
57,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
57,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
58,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
58,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
58,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
58,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
59,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
59,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
59,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
59,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
60,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
60,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
60,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
60,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
61,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
61,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
61,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
61,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
99,"pooled",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
99,"pooled",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
99,"pooled",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
99,"pooled",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
